date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:20	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	D:/Website%20Themes/TenUp.io/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://tenup.io/)
21:01:20	54704/54704	---M--	200	added ('OK')	application/octet-stream	etag:%22637a3950-d5b0%22	https://tenup.io/fonts/Gilroy-Light/Gilroy-Light.otf	D:/Website%20Themes/TenUp.io/tenup.io/fonts/Gilroy-Light/Gilroy-Light.otf	(from https://tenup.io/css/main.css)
21:01:21	18458450/18458450	---M--	200	added ('OK')	application/pdf	etag:%22637a3950-119a752%22	https://tenup.io/LUDO-LITEPAPER.pdf	D:/Website%20Themes/TenUp.io/tenup.io/LUDO-LITEPAPER.pdf	(from https://tenup.io/)
21:01:22	54704/54704	---M--	200	added ('OK')	application/octet-stream	etag:%22637a3950-d5b0%22	https://tenup.io/fonts/Gilroy-Light/Gilroy-Light.otf?	D:/Website%20Themes/TenUp.io/tenup.io/fonts/Gilroy-Light/Gilroy-Lightd41d.otf	(from https://tenup.io/css/main.css)
21:01:22	32100/32100	---M--	200	added ('OK')	application/font-woff	etag:%22637a3950-7d64%22	https://tenup.io/fonts/Gilroy-Light/Gilroy-Light.woff	D:/Website%20Themes/TenUp.io/tenup.io/fonts/Gilroy-Light/Gilroy-Light.woff	(from https://tenup.io/css/main.css)
21:01:22	81900/81900	---M--	200	added ('OK')	application/octet-stream	etag:%22637a3950-13fec%22	https://tenup.io/fonts/Gilroy-Light/Gilroy-Light.ttf	D:/Website%20Themes/TenUp.io/tenup.io/fonts/Gilroy-Light/Gilroy-Light.ttf	(from https://tenup.io/css/main.css)
21:01:23	7020/7020	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22637a3950-1b6c%22	https://tenup.io/fonts/fontello/fontello.eot	D:/Website%20Themes/TenUp.io/tenup.io/fonts/fontello/fontello.eot	(from https://tenup.io/css/main.css)
21:01:23	4128/4128	---M--	200	added ('OK')	application/font-woff	etag:%22637a3950-1020%22	https://tenup.io/fonts/fontello/fontello.woff	D:/Website%20Themes/TenUp.io/tenup.io/fonts/fontello/fontello.woff	(from https://tenup.io/css/main.css)
21:01:23	6852/6852	---M--	200	added ('OK')	application/octet-stream	etag:%22637a3950-1ac4%22	https://tenup.io/fonts/fontello/fontello.ttf	D:/Website%20Themes/TenUp.io/tenup.io/fonts/fontello/fontello.ttf	(from https://tenup.io/css/main.css)
21:01:23	3304/3304	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-ce8%22	https://tenup.io/fonts/fontello/fontello.svg	D:/Website%20Themes/TenUp.io/tenup.io/fonts/fontello/fontello.svg	(from https://tenup.io/css/main.css)
